Epoch,Train_Accuracy_Base,Validaiton_Accuracy_Base,Train_Accuracy_Dropout,Validaiton_Accuracy_Dropout,Train_Accuracy_BatchNorm,Validaiton_Accuracy_BatchNorm,Train_Accuracy_Base_WD,Validaiton_Accuracy_Base_WD
1,77.29375,76.95833333333333,75.85208333333334,75.00833333333334,85.70208333333333,84.98333333333333,76.68125,76.425
2,82.27708333333334,81.63333333333334,80.24375,79.38333333333334,88.05,87.05,80.25208333333333,80.19166666666666
3,84.76041666666667,84.00833333333334,82.525,81.325,89.43541666666667,87.8,81.8,81.43333333333334
4,85.86875,84.76666666666667,84.0625,82.975,90.20208333333333,88.21666666666667,82.39375,82.10833333333333
5,86.17916666666666,85.03333333333333,85.19583333333334,83.95,90.71666666666667,88.375,82.71875,82.15833333333333
6,86.99166666666666,85.7,85.525,84.15833333333333,91.225,88.85833333333333,82.51666666666667,82.275
7,86.9625,85.675,86.50625,84.63333333333334,91.78125,88.75833333333334,86.19583333333334,85.24166666666666
8,87.57083333333334,86.29166666666667,86.77083333333333,85.43333333333334,92.18958333333333,89.275,86.74583333333334,85.50833333333334
9,87.725,86.28333333333333,87.19166666666666,85.68333333333334,92.35625,88.80833333333334,87.18333333333334,85.84166666666667
10,88.30208333333333,86.7,87.4625,85.75833333333334,92.13125,88.93333333333334,87.8,86.51666666666667
11,88.3,86.85833333333333,87.56458333333333,85.81666666666666,92.475,89.075,88.05208333333333,86.74166666666666
12,88.84791666666666,87.16666666666667,87.86666666666666,86.03333333333333,93.11458333333333,89.35,87.91666666666667,86.775
13,89.25208333333333,87.41666666666667,88.07291666666667,86.225,93.42083333333333,89.34166666666667,88.06041666666667,86.54166666666667
14,89.4625,87.59166666666667,88.34166666666667,86.35833333333333,93.40416666666667,89.18333333333334,88.83333333333333,87.25833333333334
15,89.61041666666667,87.83333333333333,88.50208333333333,86.475,93.67291666666667,89.4,89.05,87.59166666666667
16,90.00833333333334,88.08333333333333,88.80625,86.725,93.88333333333334,89.45,89.31875,87.89166666666667
17,90.1625,88.05833333333334,88.81875,86.66666666666667,94.03541666666666,89.5,89.55833333333334,88.15
18,90.46041666666666,88.28333333333333,88.71875,86.24166666666666,94.2,89.7,89.90833333333333,88.45
19,90.66666666666667,88.41666666666667,89.06875,86.74166666666666,94.2125,89.36666666666666,90.29791666666667,88.55833333333334
20,90.81875,88.59166666666667,89.38333333333334,87.08333333333333,94.31666666666666,89.525,90.07291666666667,88.56666666666666
21,90.7375,88.4,89.49375,87.05833333333334,94.22708333333334,89.3,90.02708333333334,88.125
22,91.48541666666667,88.89166666666667,89.75625,87.18333333333334,94.37291666666667,89.41666666666667,90.68958333333333,88.96666666666667
23,91.47916666666667,88.875,89.78958333333334,87.41666666666667,94.67291666666667,89.53333333333333,90.36875,88.325
24,91.71458333333334,88.90833333333333,90.00833333333334,87.40833333333333,94.79583333333333,89.31666666666666,90.62708333333333,88.79166666666667
25,91.9125,89.01666666666667,90.00625,87.45,95.00625,89.98333333333333,90.77083333333333,88.65
26,92.09166666666667,89.18333333333334,90.39166666666667,87.45,95.15208333333334,89.81666666666666,91.07291666666667,89.05
27,91.92708333333333,88.93333333333334,90.42708333333333,87.85,94.9375,89.68333333333334,91.29166666666667,88.9
28,92.39166666666667,89.05,90.42083333333333,88.06666666666666,95.12916666666666,89.175,91.27083333333333,89.0
29,92.5,89.20833333333333,90.66875,87.90833333333333,95.4375,89.73333333333333,91.21041666666666,89.0
30,92.37708333333333,89.06666666666666,90.65833333333333,87.74166666666666,95.16041666666666,89.36666666666666,90.77083333333333,88.68333333333334
31,92.75833333333334,89.40833333333333,90.91458333333334,88.11666666666666,95.57916666666667,89.825,91.46875,89.15833333333333
32,92.92916666666666,89.40833333333333,90.97291666666666,88.09166666666667,95.57291666666667,89.74166666666666,91.81875,89.24166666666666
33,92.90625,89.28333333333333,90.8625,87.89166666666667,95.62916666666666,89.525,91.6375,89.31666666666666
34,93.15625,89.5,91.00208333333333,87.9,95.68541666666667,89.35,91.70416666666667,89.45
35,92.90833333333333,89.23333333333333,91.21458333333334,88.24166666666666,95.7875,89.68333333333334,91.87291666666667,89.225
36,93.26458333333333,89.60833333333333,90.95416666666667,88.35,95.96875,89.7,91.86666666666666,89.50833333333334
37,93.08958333333334,89.41666666666667,91.46458333333334,88.36666666666666,96.02916666666667,89.69166666666666,91.92916666666666,89.21666666666667
38,93.07083333333334,89.45,91.39166666666667,88.55833333333334,96.05833333333334,89.69166666666666,91.79166666666667,89.41666666666667
39,93.56875,89.61666666666666,91.52708333333334,88.48333333333333,96.1625,89.75,91.89791666666666,89.2
40,93.56458333333333,89.74166666666666,91.33125,88.33333333333333,95.9625,89.58333333333333,92.25,89.50833333333334
41,93.00625,89.09166666666667,91.54375,88.40833333333333,96.15,89.7,92.17916666666666,89.53333333333333
42,93.63958333333333,89.54166666666667,91.61458333333333,88.41666666666667,96.39583333333333,89.34166666666667,92.425,89.675
43,93.73333333333333,89.70833333333333,91.55,88.29166666666667,96.45625,89.66666666666667,92.33958333333334,89.65833333333333
44,93.87916666666666,89.675,91.66666666666667,88.38333333333334,96.47708333333334,89.68333333333334,92.54375,89.575
45,93.75416666666666,89.49166666666666,92.01041666666667,88.625,96.42083333333333,89.48333333333333,92.07083333333334,89.075
46,93.47708333333334,89.275,92.04166666666667,88.55833333333334,96.52083333333333,89.6,92.54791666666667,89.70833333333333
47,94.06875,89.61666666666666,92.01041666666667,88.90833333333333,96.675,89.70833333333333,92.26666666666667,89.6
48,93.79166666666667,89.50833333333334,92.10208333333334,88.58333333333333,96.38333333333334,89.58333333333333,92.40833333333333,89.64166666666667
49,94.35,89.90833333333333,91.94583333333334,88.49166666666666,96.48958333333333,89.7,92.25833333333334,89.23333333333333
50,94.37708333333333,89.91666666666667,92.1375,88.73333333333333,96.81458333333333,89.75,92.70208333333333,89.68333333333334
